PTTG1,a
CDC20,a
ORC6,a
KIF2C,a
UBE2C,a
MELK,a
BIRC5,a
NUF2,a
CEP55,a
EXO1,a
CENPF,a
NDC80,a
TYMS,a
UBE2T,a
ANLN,a
CCNB1,a
RRM2,a
MKI67,a
MIA,b
FOXC1,b
ACTR3B,b
CCNE1,b
PHGDH,b
SFRP1,c
MYC,c
CDH3,c
KRT5,c
KRT17,c
KRT14,c
EGFR,c
CDC6,d
ESR1,d
BCL2,d
FOXA1,d
CXXC5,d
MLPH,d
MAPT,d
SLC39A6,d
NAT1,d
MDM2,d
PGR,d
MMP11,d
BLVRA,d
FGFR4,e
GRB7,e
ERBB2,e
